nickname,tempo_de_jogo,trofeus,nivel,deck
Player0001,150,5210,14,"Mini P.E.K.K.A, Bárbaros, Cabana de Bárbaros, Torre de Bombas, Golem, Executor, Veneno, Canhão"
Player0002,477,5769,14,"Cavaleiro, Fúria, Mega Servo, Mosqueteira, Corredor, Cabana de Bárbaros, Cabana de Goblins, Torre Inferno"
Player0003,297,4299,14,"Veneno, Coletor de Elixir, Bruxa, Zap, Descarga, Mega Servo, Cavaleiro, Mago de Gelo"
Player0004,398,2288,11,"Relâmpago, Bola de Fogo, Golem, Descarga, Dragão Bebê, Lápide, Torre Inferno, Mosqueteira"
Player0005,305,4337,9,"Veneno, Bola de Fogo, Executor, Lápide, Torre Inferno, Dragão Bebê, Cavaleiro, Cabana de Goblins"
Player0006,81,4443,12,"Torre Inferno, P.E.K.K.A, Fornalha, Veneno, Mega Servo, Corredor, Relâmpago, Canhão"
Player0007,213,3600,10,"Mini P.E.K.K.A, Executor, Canhão, Bola de Fogo, Torre de Bombas, Lápide, Veneno, Corredor"
Player0008,168,5495,14,"Zap, Cabana de Bárbaros, Mega Servo, Mini P.E.K.K.A, Canhão, Cavaleiro, Arqueiras, Mago"
Player0009,497,3435,14,"Mago de Gelo, Golem, Canhão, Gigante, Mosqueteira, Bárbaros, Torre Inferno, Fornalha"
Player0010,357,5666,10,"Torre Inferno, Zap, Fúria, Descarga, Mago de Gelo, Executor, Veneno, Mega Servo"
Player0011,308,3613,13,"Zap, Tornado, Mosqueteira, Cabana de Goblins, Príncipe, Mago de Gelo, Dragão Bebê, Lápide"
Player0012,284,4876,11,"Tornado, Bruxa, Torre de Bombas, Mago de Gelo, Fornalha, Canhão, Golem, Bárbaros"
Player0013,263,5961,9,"Mini P.E.K.K.A, Tornado, Corredor, Bruxa, Coletor de Elixir, Bárbaros, P.E.K.K.A, Arqueiras"
Player0014,334,3089,13,"Executor, Cabana de Goblins, P.E.K.K.A, Cabana de Bárbaros, Descarga, Mosqueteira, Mini P.E.K.K.A, Dragão Bebê"
Player0015,151,4840,13,"Dragão Bebê, Canhão, Veneno, Cabana de Bárbaros, Lápide, Mago de Gelo, Corredor, P.E.K.K.A"
Player0016,189,3680,13,"Mago de Gelo, Príncipe, Mini P.E.K.K.A, Torre de Bombas, Golem, Bola de Fogo, Fúria, Bruxa"
Player0017,233,4283,11,"Mega Servo, Mosqueteira, Cabana de Bárbaros, Mago de Gelo, Cavaleiro, P.E.K.K.A, Cabana de Goblins, Bruxa"
Player0018,219,5972,11,"Canhão, P.E.K.K.A, Relâmpago, Fúria, Bola de Fogo, Cavaleiro, Cabana de Goblins, Executor"
Player0019,214,3294,9,"Bruxa, Coletor de Elixir, Fornalha, P.E.K.K.A, Mini P.E.K.K.A, Cabana de Goblins, Lápide, Mosqueteira"
Player0020,87,3233,13,"Mosqueteira, Mago de Gelo, Cabana de Goblins, Coletor de Elixir, Tornado, Torre Inferno, Descarga, Gigante"
Player0021,442,3323,10,"Golem, Gigante, Bruxa, Mago, Fornalha, Arqueiras, Descarga, Zap"
Player0022,283,3507,14,"Fornalha, Fúria, Bruxa, Tornado, Coletor de Elixir, Bola de Fogo, Dragão Bebê, Mago de Gelo"
